tour_id,day_number,route_id,day_title,override_description
FAB-10DAY-AUT,2,STAY_FES,Fes,Full day Fes medina. Tanneries and madrasas and souks. Cooking class optional.
FAB-10DAY-AUT,3,FES-MER-009-Morocco-Merzouga.png,Fes to Merzouga,
FAB-10DAY-AUT,4,MER-DAD-NEW01-Morocco-Dades.png,Merzouga to Dades,
FAB-10DAY-AUT,5,DAD-MAR-NEW02-Morocco-Marrakech-8.png,Dades to Marrakech,
FAB-10DAY-AUT,6,STAY_MARRAKECH,Marrakech,Marrakech exploration. Bahia and souks and Jemaa el-Fna.
FAB-10DAY-AUT,7,MAR-ESS-011-Morocco-Essaouira.png,Marrakech to Essaouira,
FAB-10DAY-AUT,8,ESS-CAS-NEW10-Morocco-Essaouira.png,Essaouira to Casablanca,
FAB-10DAY-AUT,9,CAS-FES-028-Morocco-Fes-4.png,Casablanca to Fes,
FAB-10DAY-AUT,10,DEPARTURE_STANDARD,Departure from Fes,Final morning in Fes.
FAB-8DAY-CAS,1,CAS-RAB-025-Morocco-Rabat.png,Casablanca to Rabat,
FAB-8DAY-CAS,2,RAB-FES-127,Rabat to Fes,
FAB-8DAY-CAS,3,STAY_FES,Fes,Full day Fes medina exploration.
FAB-8DAY-CAS,4,FES-MER-009-Morocco-Merzouga.png,Fes to Merzouga,
FAB-8DAY-CAS,5,MER-DAD-NEW01-Morocco-Dades.png,Merzouga to Dades,
FAB-8DAY-CAS,6,DAD-OUA-117,Dades to Ouarzazate,
FAB-8DAY-CAS,7,OUA-MAR-124,Ouarzazate to Marrakech,
FAB-8DAY-CAS,8,MAR-CAS-013-Morocco-Casablanca.png,Marrakech to Casablanca,
FAB-12DAY-CAS,1,CAS-RAB-025-Morocco-Rabat.png,Casablanca to Rabat,
FAB-12DAY-CAS,2,RAB-CHE-126,Rabat to Chefchaouen,
FAB-12DAY-CAS,3,CHE-FES-NEW05-Morocco-Fes-13.png,Chefchaouen to Fes,
FAB-12DAY-CAS,4,STAY_FES,Fes,Full day Fes medina.
FAB-12DAY-CAS,5,FES-MER-009-Morocco-Merzouga.png,Fes to Merzouga,
FAB-12DAY-CAS,6,STAY_MERZOUGA,Merzouga,Full day desert. Nomads. Khamlia.
FAB-12DAY-CAS,7,MER-DAD-NEW01-Morocco-Dades.png,Merzouga to Dades,
FAB-12DAY-CAS,8,DAD-OUA-117,Dades to Ouarzazate,
FAB-12DAY-CAS,9,OUA-MAR-124,Ouarzazate to Marrakech,
FAB-12DAY-CAS,10,STAY_MARRAKECH,Marrakech,Full day Marrakech exploration.
FAB-12DAY-CAS,11,MAR-ESS-011-Morocco-Essaouira.png,Marrakech to Essaouira,
FAB-12DAY-CAS,12,ESS-CAS-NEW10-Morocco-Essaouira.png,Essaouira to Casablanca,
FAB-15DAY-ULT,1,CAS-RAB-025-Morocco-Rabat.png,Casablanca to Rabat,
FAB-15DAY-ULT,2,RAB-TAN-129,Rabat to Tangier,
FAB-15DAY-ULT,3,TAN-CHE-032-Morocco-Chefchaouen.png,Tangier to Chefchaouen,
FAB-15DAY-ULT,4,CHE-FES-NEW05-Morocco-Fes-13.png,Chefchaouen to Fes,
FAB-15DAY-ULT,5,STAY_FES,Fes,Full day Fes medina.
FAB-15DAY-ULT,6,FES-MEK-022-Morocco-Fes-3.png,Fes to Meknes,
FAB-15DAY-ULT,7,MEK-MER-121,Meknes to Merzouga,
FAB-15DAY-ULT,8,STAY_MERZOUGA,Merzouga,Full day desert exploration.
FAB-15DAY-ULT,9,MER-DAD-NEW01-Morocco-Dades.png,Merzouga to Dades,
FAB-15DAY-ULT,10,DAD-OUA-117,Dades to Ouarzazate,
FAB-15DAY-ULT,11,OUA-MAR-124,Ouarzazate to Marrakech,
FAB-15DAY-ULT,12,STAY_MARRAKECH,Marrakech,Full day Marrakech.
FAB-15DAY-ULT,13,MAR-ESS-011-Morocco-Essaouira.png,Marrakech to Essaouira,
FAB-15DAY-ULT,14,STAY_ESSAOUIRA,Essaouira,Full day Essaouira. Port and medina and beach.
FAB-15DAY-ULT,15,ESS-CAS-NEW10-Morocco-Essaouira.png,Essaouira to Casablanca,
