tour_id,day_number,title,from_city,to_city,description,driving_hours,meals,accommodation,image_url,activities,difficulty
FAB-SAH-4D,3,Merzouga,Merzouga,Merzouga,"Full day to explore the desert. Options include: 4x4 excursion to nomad families, sandboarding, quad biking, or simply relaxing at the camp. Visit Khamlia village for Gnawa music. Second night in the desert or nearby hotel.",2,Breakfast|Dinner,Desert Hotel,,Desert exploration,Easy
FAB-SAH-4D,4,Merzouga to Marrakech,Merzouga,Marrakech,"After sunrise and breakfast, return through Todra Gorge and over the Atlas. Scenic stops along the way. Arrive Marrakech by evening.",9,Breakfast,End of tour,,Sightseeing,Easy
FAB-FES-4D,1,Marrakech to Dades,Marrakech,Dades Valley,"Cross the High Atlas. Visit Ait Benhaddou and Ouarzazate. Continue to Dades Valley.",5,Dinner,Dades Riad,,Sightseeing,Easy
FAB-FES-4D,2,Dades to Merzouga,Dades Valley,Merzouga,"Explore Dades Gorge. Drive through Todra Gorge to Merzouga. Sunset camel trek and desert camp.",5,Breakfast|Dinner,Desert Camp,,Camel trek,Moderate
FAB-FES-4D,3,Merzouga to Midelt,Merzouga,Midelt,"Morning in the desert. Drive through Erfoud and the Ziz Valley. Stop at fossil workshops. Overnight in Midelt at the foot of the Middle Atlas.",5,Breakfast|Dinner,Hotel,,Sightseeing,Easy
FAB-FES-4D,4,Midelt to Fes,Midelt,Fes,"Drive through cedar forests—look for Barbary macaques. Stop at Ifrane before arriving in Fes.",4,Breakfast,End of tour,,Wildlife,Easy
FAB-IMP-5D,1,Marrakech to Dades,Marrakech,Dades Valley,"Cross the Atlas via Tizi n'Tichka. Ait Benhaddou and Ouarzazate. Dades Valley overnight.",5,Dinner,Dades Riad,,Sightseeing,Easy
FAB-IMP-5D,2,Dades to Merzouga,Dades Valley,Merzouga,"Todra Gorge. Sahara sunset. Desert camp.",5,Breakfast|Dinner,Desert Camp,,Camel trek,Moderate
FAB-IMP-5D,3,Merzouga to Fes,Merzouga,Fes,"Ziz Valley. Cedar forests. Arrive Fes evening.",7,Breakfast,Fes Riad,,Sightseeing,Easy
FAB-IMP-5D,4,Fes,Fes,Fes,"Full day exploring the world's largest car-free medina. Tanneries, madrasas, craftsmen at work. Optional cooking class.",0,Breakfast,Fes Riad,,Medina exploration,Easy
FAB-IMP-5D,5,Fes to Marrakech,Fes,Marrakech,"Drive across the Middle Atlas via Beni Mellal. Arrive Marrakech evening.",6,Breakfast,End of tour,,Sightseeing,Easy
FAB-MOR-8D,1,Marrakech to Dades,Marrakech,Dades Valley,"Atlas crossing. Ait Benhaddou. Dades Valley.",5,Dinner,Dades Riad,,Sightseeing,Easy
FAB-MOR-8D,2,Dades to Merzouga,Dades Valley,Merzouga,"Todra Gorge. Sahara. Desert camp.",5,Breakfast|Dinner,Desert Camp,,Camel trek,Moderate
FAB-MOR-8D,3,Merzouga to Fes,Merzouga,Fes,"Ziz Valley. Cedar forests. Fes.",7,Breakfast,Fes Riad,,Sightseeing,Easy
FAB-MOR-8D,4,Fes,Fes,Fes,"Fes medina exploration with local guide.",0,Breakfast,Fes Riad,,Medina exploration,Easy
FAB-MOR-8D,5,Fes to Chefchaouen,Fes,Chefchaouen,"Drive through the Rif Mountains to the blue city.",4,Breakfast,Chefchaouen Riad,,Sightseeing,Easy
FAB-MOR-8D,6,Chefchaouen to Rabat,Chefchaouen,Rabat,"Morning in Chefchaouen. Afternoon drive to Rabat—Morocco's capital.",4,Breakfast,Rabat Hotel,,Sightseeing,Easy
FAB-MOR-8D,7,Rabat to Casablanca to Marrakech,Rabat,Marrakech,"Hassan Tower and Kasbah of the Udayas in Rabat. Drive to Casablanca for Hassan II Mosque. Continue to Marrakech.",5,Breakfast,Marrakech Riad,,Sightseeing,Easy
FAB-MOR-8D,8,Marrakech,Marrakech,Marrakech,"Morning in Marrakech—Bahia Palace, souks, Jemaa el-Fna. End of tour.",0,Breakfast,End of tour,,Medina exploration,Easy
FAB-FEZ-2D,1,Fes to Merzouga,Fes,Merzouga,"Drive south through Ifrane, cedar forests with Barbary macaques, and the dramatic Ziz Valley. Arrive Merzouga for sunset camel trek. Dinner and overnight in desert camp.",7,Dinner,Desert Camp,,Camel trek,Moderate
FAB-FEZ-2D,2,Merzouga to Fes,Merzouga,Fes,"Sunrise over the dunes. After breakfast, return north via Erfoud and the scenic mountain route. Arrive Fes evening.",7,Breakfast,End of tour,,Sightseeing,Easy
FAB-FEZ-3D,1,Fes to Merzouga,Fes,Merzouga,"Through Ifrane and cedar forests to Merzouga. Camel trek and desert camp.",7,Dinner,Desert Camp,,Camel trek,Moderate
FAB-FEZ-3D,2,Merzouga,Merzouga,Merzouga,"Full day desert exploration. Nomad visits. Optional 4x4 excursion. Second night at desert hotel.",2,Breakfast|Dinner,Desert Hotel,,Desert exploration,Easy
FAB-FEZ-3D,3,Merzouga to Fes,Merzouga,Fes,"Return via Todra Gorge and Ziz Valley. Arrive Fes evening.",8,Breakfast,End of tour,,Sightseeing,Easy
FAB-FEZ-3M,1,Fes to Merzouga,Fes,Merzouga,"Ifrane. Cedar forests. Ziz Valley. Desert camp.",7,Dinner,Desert Camp,,Camel trek,Moderate
FAB-FEZ-3M,2,Merzouga to Dades,Merzouga,Dades Valley,"Morning desert. Todra Gorge. Dades Valley overnight.",5,Breakfast|Dinner,Dades Riad,,Sightseeing,Easy
FAB-FEZ-3M,3,Dades to Marrakech,Dades Valley,Marrakech,"Ait Benhaddou. Atlas crossing. Marrakech.",5,Breakfast,End of tour,,Sightseeing,Easy
